04/26/21, s_m_P_FF_TO_ANAPLAN_CX_AS_ATR, Source_RowCount= 13167, Source_RejectedRowCount= 1, Target_RowCount= 13167, Target_RejectedRowCount= 0
04/26/21, s_m_P_FF_TO_ANAPLAN_CX_AS_ATR, Source_RowCount= 13167, Source_RejectedRowCount= 1, Target_RowCount= 13167, Target_RejectedRowCount= 0
04/26/21, s_m_P_FF_TO_ANAPLAN_CX_AS_ATR, Source_RowCount= 13167, Source_RejectedRowCount= 1, Target_RowCount= 13167, Target_RejectedRowCount= 0
04/26/21, s_m_P_FF_TS_IB_Bkgss_PY1, Source_RowCount= 476, Source_RejectedRowCount= 0 , Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
04/26/21, s_m_P_FF_TO_ANAPLAN_CX_AS_RR_prog, Source_RowCount= 11310, Source_RejectedRowCount= 0, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
04/26/21, s_m_P_FF_TO_ANAPLAN_CX_SW_ATR, Source_RowCount= 792163, Source_RejectedRowCount= 1 , Target_RowCount= 792163, Target_RejectedRowCount= 0
04/26/21, s_m_P_FF_TS_IB_Bkgss_PY, Source_RowCount= 786645, Source_RejectedRowCount= 0 , Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
04/26/21, s_m_P_FF_TO_ANAPLAN_CX_TS_ATR, Source_RowCount= 4315866, Source_RejectedRowCount= 0, Target_RowCount= 4315866, Target_RejectedRowCount= 0
04/26/21, s_m_P_FF_TS_IB_Bkgss_CY, Source_RowCount= 1541615, Source_RejectedRowCount= 0 , Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
04/26/21, s_m_P_FF_TO_ANAPLAN_CX_TSS_RR_prog_PY1, Source_RowCount= 454810, Source_RejectedRowCount= 0, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
04/26/21, s_m_P_FF_TS_IB_Bkgss_CY1, Source_RowCount= 1167421, Source_RejectedRowCount= 0 , Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
04/26/21, s_m_P_FF_TS_IB_Bkgss_CY2, Source_RowCount= 5906, Source_RejectedRowCount= 0 , Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
04/26/21, s_m_P_FF_TO_ANAPLAN_CX_TSS_RR_prog_PY, Source_RowCount= 847873, Source_RejectedRowCount= 0, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
04/26/21, s_m_P_FF_TO_ANAPLAN_CX_TSS_RR_prog_CY, Source_RowCount= 861901, Source_RejectedRowCount= 0, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
04/26/21, s_m_P_FF_TO_ANAPLAN_CX_TSS_RR_prog_CY1, Source_RowCount= 861609, Source_RejectedRowCount= 0, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
04/27/21, s_m_P_FF_TS_IB_Bkgss_PY1, Source_RowCount= 476, Source_RejectedRowCount= 0 , Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
04/27/21, s_m_P_FF_TO_ANAPLAN_CX_AS_ATR, Source_RowCount= 13167, Source_RejectedRowCount= 1, Target_RowCount= 13167, Target_RejectedRowCount= 0
04/27/21, s_m_P_FF_TO_ANAPLAN_CX_AS_RR_prog, Source_RowCount= 11310, Source_RejectedRowCount= 0, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
04/27/21, s_m_P_FF_TO_ANAPLAN_CX_TSS_RR_prog_PY1, Source_RowCount= 454810, Source_RejectedRowCount= 0, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
04/27/21, s_m_P_FF_TO_ANAPLAN_CX_SW_ATR, Source_RowCount= 792163, Source_RejectedRowCount= 1 , Target_RowCount= 792163, Target_RejectedRowCount= 0
04/27/21, s_m_P_FF_TS_IB_Bkgss_PY, Source_RowCount= 786645, Source_RejectedRowCount= 0 , Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
04/27/21, s_m_P_FF_TS_IB_Bkgss_CY, Source_RowCount= 1541615, Source_RejectedRowCount= 0 , Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
04/27/21, s_m_P_FF_TO_ANAPLAN_CX_TSS_RR_prog_PY, Source_RowCount= 847873, Source_RejectedRowCount= 0, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
04/27/21, s_m_P_FF_TS_IB_Bkgss_CY1, Source_RowCount= 1167421, Source_RejectedRowCount= 0 , Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
04/27/21, s_m_P_FF_TS_IB_Bkgss_CY2, Source_RowCount= 5906, Source_RejectedRowCount= 0 , Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
04/27/21, s_m_P_FF_TO_ANAPLAN_CX_TSS_RR_prog_CY, Source_RowCount= 861901, Source_RejectedRowCount= 0, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
04/27/21, s_m_P_FF_TO_ANAPLAN_CX_TSS_RR_prog_CY1, Source_RowCount= 861609, Source_RejectedRowCount= 0, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
04/27/21, s_m_P_FF_TO_ANAPLAN_CX_TS_ATR, Source_RowCount= 4315866, Source_RejectedRowCount= 0, Target_RowCount= 4315866, Target_RejectedRowCount= 0
04/28/21, s_m_P_FF_TO_ANAPLAN_CX_TS_ATR, Source_RowCount= 4315866, Source_RejectedRowCount= 0, Target_RowCount= 4315866, Target_RejectedRowCount= 0
04/28/21, s_m_P_FF_TO_ANAPLAN_CX_SW_ATR, Source_RowCount= 792163, Source_RejectedRowCount= 1 , Target_RowCount= 792163, Target_RejectedRowCount= 0
05/04/21, s_m_P_FF_TS_IB_Bkgss_PY1, Source_RowCount= 476, Source_RejectedRowCount= 0 , Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
05/04/21, s_m_P_FF_TO_ANAPLAN_CX_AS_ATR, Source_RowCount= 13167, Source_RejectedRowCount= 1, Target_RowCount= 13167, Target_RejectedRowCount= 0
05/04/21, s_m_P_FF_TO_ANAPLAN_CX_AS_RR_prog, Source_RowCount= 11310, Source_RejectedRowCount= 0, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
05/04/21, s_m_P_FF_TO_ANAPLAN_CX_TSS_RR_prog_PY1, Source_RowCount= 454810, Source_RejectedRowCount= 0, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
05/04/21, s_m_P_FF_TO_ANAPLAN_CX_SW_ATR, Source_RowCount= 792163, Source_RejectedRowCount= 1 , Target_RowCount= 792163, Target_RejectedRowCount= 0
05/04/21, s_m_P_FF_TS_IB_Bkgss_PY, Source_RowCount= 786645, Source_RejectedRowCount= 0 , Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
05/04/21, s_m_P_FF_TS_IB_Bkgss_CY, Source_RowCount= 1541615, Source_RejectedRowCount= 0 , Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
05/04/21, s_m_P_FF_TO_ANAPLAN_CX_TSS_RR_prog_PY, Source_RowCount= 847873, Source_RejectedRowCount= 0, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
05/04/21, s_m_P_FF_TO_ANAPLAN_CX_TSS_RR_prog_CY, Source_RowCount= 861901, Source_RejectedRowCount= 0, Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
05/04/21, s_m_P_FF_TS_IB_Bkgss_CY1, Source_RowCount= 1167421, Source_RejectedRowCount= 0 , Target_RowCount= @numAffectedRows, Target_RejectedRowCount= @numRejectedRows
